,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
69,Water Flow,Klyne,spotify:track:13yjydMwAIjGXXC1S8d6FA,0.596,0.462,-10.605,0.0589,0.476,0.0581,0.112,0.655,173.866,2
70,Poison,Brent Faiyaz,spotify:track:5NijSs5dAwaIybq1GaRTIe,0.381,0.502,-5.505,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,0
71,When I'm in Your Arms,Cleo Sol,spotify:track:47s5hKfwGXliAAB8wKMiNo,0.387,0.505,-8.579,0.247,0.259,0.000133,0.564,0.158,84.942,4
72,Movement,Hozier,spotify:track:1djzKW3eYLyzjjHXazEWWh,0.705,0.734,-5.08,0.184,0.28,7.14e-05,0.093,0.457,94.996,1
73,Warm Winds (feat. Isaiah Rashad),SZA,spotify:track:0Kz9aGVgFvndWkcaiylIt5,0.513,0.395,-6.987,0.0337,0.22,0.000857,0.142,0.389,161.93,2
74,Kamikaze,Omar Apollo,spotify:track:18eZc40EneLmStYEy3cLBP,0.607,0.609,-5.978,0.291,0.389,1.6e-05,0.111,0.556,74.946,6
75,Under the Influence,Snoh Aalegra,spotify:track:2nHIpMhUqgKmRspWbKu3In,0.951,0.48,-8.465,0.359,0.759,0.0,0.106,0.615,117.904,6
76,R.I.P. SCREW,Travis Scott,spotify:track:4SZepBIPDRwPaHIjAKwRDb,0.766,0.272,-5.696,0.041,0.0366,0.0,0.175,0.037,116.036,1
77,Drip or Drown,Gunna,spotify:track:3LPRKQKIlwova0VkaKB1BG,0.781,0.277,-9.35,0.326,0.0408,0.000339,0.0754,0.302,163.987,6
78,Jaded,Drake,spotify:track:3jipFRgLyKK0oJoG1pKicx,0.296,0.518,-9.571,0.0489,0.745,3.31e-05,0.462,0.0755,183.672,2
79,Gang Over Luv,Brent Faiyaz,spotify:track:7LaI3mRTJu66r9HKdv7iBx,0.516,0.708,-4.465,0.0253,0.0494,4.6e-06,0.243,0.33,89.938,1
80,The Birds Pt. 2,The Weeknd,spotify:track:51LmI5GE3tHKISLNZMjDPC,0.734,0.543,-7.979,0.4,0.186,0.0,0.372,0.336,78.168,6
81,GHOST!,Kid Cudi,spotify:track:7aAEJfIzJUUSRXQNz2JzfO,0.762,0.505,-8.105,0.354,0.43,0.0,0.136,0.204,119.926,6
82,The Cut Off (feat. kiLL edward),J. Cole,spotify:track:3rFF7kSm5qBOOPs6ljFgPp,0.652,0.906,-4.032,0.161,0.13,0.0681,0.504,0.559,125.103,4
83,Dopamine,Bas,spotify:track:27mAxmIMCalJIinL20BgKV,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4
84,West Savannah (feat. SZA),Isaiah Rashad,spotify:track:0Gt4nGWoATcQFL38a1NRao,0.629,0.56,-6.723,0.166,0.0244,0.0042,0.301,0.547,129.817,3
85,Good Days,SZA,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,0.405,0.619,-8.92,0.0615,0.162,0.000334,0.0788,0.234,120.092,1
86,Drinkin',JMSN,spotify:track:5p8mIi823BET6E9BcJNbwv,0.505,0.543,-8.13,0.0403,0.066,0.00866,0.172,0.542,79.64,1
87,Professional,The Weeknd,spotify:track:5ZicFGBDAi9J2YCVesboUp,0.754,0.37,-9.854,0.12,0.403,6.22e-05,0.107,0.228,114.941,2
88,In Your River,Snoh Aalegra,spotify:track:2XOPPN5maa9nSWfxFoMKmY,0.532,0.412,-9.641,0.0319,0.773,0.0234,0.106,0.417,120.086,2
89,Mile High (feat. Travis Scott & Metro Boomin),James Blake,spotify:track:4cQrSREMqBSvJ8ZzBZjVb8,0.318,0.482,-11.677,0.108,0.861,0.00452,0.185,0.236,123.489,2
90,Radio Silence,James Blake,spotify:track:0ZPPbwJD2WVU8HdMsVtChk,0.532,0.577,-9.313,0.0352,0.00253,0.0437,0.234,0.0397,131.922,1
91,Love Me In Whatever Way,James Blake,spotify:track:1C0WuqxJFwspf1lc0v4qhZ,0.622,0.253,-14.36,0.0331,0.435,0.471,0.0941,0.336,92.584,2
92,Nothing Compares - Bonus Track,The Weeknd,spotify:track:5ciyqWW5YuGqF4Avu7uwry,0.619,0.381,-10.691,0.0523,0.471,0.0318,0.101,0.312,139.929,2
93,Baby,Ariel Pink,spotify:track:2TUdxbIF3rpY887d8m0ZGV,0.37,0.434,-7.674,0.0444,0.878,0.00291,0.0995,0.424,200.23,2
94,Time Moves Slow,BADBADNOTGOOD,spotify:track:1I40L32fTSSkBkPeArX9Ul,0.579,0.449,-12.274,0.0329,0.0474,0.856,0.108,0.576,82.654,5
95,Lisa Sawyer,Leon Bridges,spotify:track:6vInMsXdlH7SN6NL4dQkrO,0.7,0.414,-10.864,0.0373,0.849,0.0606,0.107,0.444,60.479,2
96,"Father Bird, Mother Bird",Khruangbin,spotify:track:4AihGF6dk12E3eGupierBT,0.819,0.458,-10.223,0.167,0.582,0.173,0.128,0.232,122.981,2
97,Hold On,The Internet,spotify:track:5tqZJUHEuqdN12RZVq2l9p,0.67,0.7,-7.893,0.196,0.576,5.34e-06,0.226,0.648,69.986,2
98,DHL,Frank Ocean,spotify:track:2INhKpUdzh7v0j041gZNsz,0.502,0.623,-8.812,0.44,0.609,0.0,0.119,0.399,75.578,6
99,YAH.,Kendrick Lamar,spotify:track:4BHSjbYylfOH5WAGusDyni,0.827,0.685,-6.978,0.407,0.101,0.0,0.109,0.275,146.995,6
100,Love Yourz,J. Cole,spotify:track:4gkl7QbQvBd3TM9PhlWFkI,0.619,0.521,-8.092,0.0744,0.26,0.000542,0.101,0.254,139.886,1
101,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,spotify:track:33mhcaisagS8xc7ZTckRU9,0.642,0.79,-6.8,0.0681,0.151,0.000583,0.305,0.613,114.96,3
102,The Zone,The Weeknd,spotify:track:46X8c9qJzpBLYcos3OX0CE,0.798,0.465,-10.412,0.0981,0.411,0.224,0.323,0.348,104.96,2
103,Adaptation,The Weeknd,spotify:track:4pHQ9RYFhn3W0ha5KEuMnj,0.492,0.344,-15.259,0.0259,0.674,0.531,0.0933,0.247,86.485,7
104,Strawberry Bubblegum,Justin Timberlake,spotify:track:34P33YihJ0pxZ7NdGW25bT,0.673,0.463,-7.247,0.191,0.681,4.9e-06,0.0907,0.268,147.981,2
105,Master of None,Beach House,spotify:track:3stWWPN41byqp8loPdy92u,0.307,0.625,-8.983,0.062,0.472,0.000577,0.144,0.183,180.467,0
106,Biking,Frank Ocean,spotify:track:2q0VexHJirnUPnEOhr2DxK,0.524,0.708,-8.217,0.0603,0.014,0.000166,0.13,0.183,125.025,1
107,Thursday,The Weeknd,spotify:track:4fiYSa6ln7h0scprgNEs0g,0.497,0.803,-4.46,0.132,0.0447,1.77e-05,0.424,0.155,183.883,0
108,Heaven Or Las Vegas,The Weeknd,spotify:track:3hDnFYwpnY0wONZDkYxUsj,0.654,0.325,-11.925,0.282,0.74,2.14e-05,0.152,0.39,139.886,2
109,Montreal,The Weeknd,spotify:track:6fRgjqJptZry7fipP2Beyh,0.502,0.699,-5.528,0.0333,0.0055,0.0,0.171,0.354,111.024,1
110,Provider,Frank Ocean,spotify:track:6R6ihJhRbgu7JxJKIbW57w,0.593,0.37,-11.674,0.397,0.832,0.0,0.108,0.312,135.391,6
111,Love/Paranoia,Tame Impala,spotify:track:5h9hkYIBWTZYFRmF6Iz1gt,0.81,0.582,-5.098,0.125,0.0862,0.00681,0.207,0.503,95.004,3
