,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
11029,bloody valentine,Machine Gun Kelly,spotify:track:6mADjHs6FXdroPzEGW6KVJ,0.639,0.482,-8.245,0.0341,0.439,0.0,0.135,0.394,69.451,2
11030,"Thanks, I Hate It",Simple Creatures,spotify:track:6aR39S1gZYKmu0swOBdQ49,0.578,0.907,-7.03,0.0449,0.112,0.0,0.196,0.706,149.956,3
11031,Easy To Hate,Waterparks,spotify:track:63nrDEgc4rnp0EC6mTVzBm,0.703,0.694,-6.926,0.0344,0.0168,0.0,0.262,0.891,89.943,3
11032,I'm Not Ok,Weathers,spotify:track:17weS3aO2oaGYJ9Q9yM56X,0.608,0.487,-8.846,0.0423,0.68,0.0,0.148,0.492,119.99,2
11033,Absinthe,I DONT KNOW HOW BUT THEY FOUND ME,spotify:track:4hs2FbesB8qo6H5Berbikd,0.67,0.643,-4.553,0.0465,0.118,0.0,0.192,0.703,123.979,3
11034,Social Climb,I DONT KNOW HOW BUT THEY FOUND ME,spotify:track:3xUsaaH6oCG1w8kD1oGhGW,0.635,0.863,-4.204,0.0613,0.00179,0.0,0.32,0.654,94.945,3
11035,Good As It Gets,Little Hurt,spotify:track:79HFFYAPOd80mvfOkwDv1n,0.637,0.607,-3.645,0.0405,0.0624,0.0,0.567,0.665,124.876,4
11036,It's Ok Not to Be Ok,Little Hurt,spotify:track:2KqRpTZp4FJdklbEdrVRDg,0.66,0.682,-4.297,0.134,0.31,0.0,0.333,0.675,96.029,3
11037,Middle Of The Road,Chaz Cardigan,spotify:track:0HVu7bbSIVDWclqtcH1O4v,0.381,0.65,-4.266,0.038,0.132,1.19e-06,0.0368,0.312,132.184,1
11038,I Really Wish I Hated You,blink-182,spotify:track:6KWcq5p0wsz97N3eoRUSH6,0.451,0.661,-6.961,0.0976,0.00321,0.0,0.108,0.444,180.133,0
11039,Dream Boy,Waterparks,spotify:track:2HjNUI40qELVK4FKAJldKq,0.284,0.609,-6.033,0.123,0.0438,0.0,0.177,0.521,85.386,1
11040,Die For The Hype,YUNGBLUD,spotify:track:0mN7aCKIsZcoPiUrh2OPsF,0.646,0.626,-6.351,0.0729,0.0167,8.7e-06,0.112,0.372,83.981,1
11041,I Can't Handle Change,Roar,spotify:track:0I1eFRytp4XRhLCjT6tZm7,0.652,0.453,-6.119,0.0445,0.0507,0.0,0.179,0.432,88.039,1
11042,Cry Baby,The Neighbourhood,spotify:track:0EfsDEYaSjGYd66Pr881nq,0.482,0.873,-3.145,0.0853,0.0111,0.0,0.409,0.737,165.084,0
11043,Freaks,Surf Curse,spotify:track:7EkWXAI1wn8Ii883ecd9xr,0.578,0.926,-3.689,0.0548,0.00472,0.0127,0.14,0.877,149.976,3
11044,Maniac,Conan Gray,spotify:track:6KfoDhO4XUWSbnyKjNp9c4,0.56,0.959,-2.433,0.102,0.000722,0.000221,0.209,0.669,163.983,0
11045,Checkmate,Conan Gray,spotify:track:3SnpCALgmzVy7k07aAXbuA,0.564,0.671,-5.189,0.0565,0.0219,0.0,0.0639,0.455,173.901,0
11046,Scrawny,Wallows,spotify:track:1pNUmVxDiE8t6P1XxcZAv8,0.676,0.904,-3.71,0.049,0.0101,1.45e-05,0.0678,0.939,139.954,3
11047,Wires,The Neighbourhood,spotify:track:5v8aEcHcaJIGYpfVVPtJjI,0.793,0.634,-4.807,0.0324,0.038,1.76e-06,0.304,0.615,117.024,3
11048,Tear in My Heart,Twenty One Pilots,spotify:track:3bnVBN67NBEzedqQuWrpP4,0.244,0.645,-5.863,0.0456,0.00178,0.00574,0.301,0.529,183.577,0
11049,The Fine Print,The Stupendium,spotify:track:73MWNenV7mQGUdXB8npY4H,0.766,0.761,-5.911,0.0343,0.0302,0.0,0.397,0.7,122.997,3
11050,The Scientist,Coldplay,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.48,0.893,-4.004,0.109,0.0046,6.37e-06,0.127,0.365,87.518,1
11051,Ain't No Crying,Derivakat,spotify:track:18wSH9W51fEBd9qrUAb9aW,0.607,0.827,-4.282,0.0484,0.289,2.95e-06,0.718,0.552,100.062,4
11052,Win It All,Derivakat,spotify:track:3Ukod2skrPGiEO7ZmTSI50,0.707,0.462,-6.696,0.117,0.0732,0.0,0.199,0.547,83.994,1
11053,Captain's Call,Derivakat,spotify:track:6geqK6Zfw9ucscb93RGRuT,0.485,0.444,-9.824,0.326,0.35,0.0,0.0617,0.464,147.833,6
11054,Stand Out Fit In,Derivakat,spotify:track:3xnJBMiUlnMp8UH5XCP2V5,0.689,0.377,-8.761,0.0397,0.285,0.0,0.268,0.294,143.946,2
11055,Weak,AJR,spotify:track:5DZwnLxHjWTZaz9jOpRhxb,0.489,0.535,-10.34,0.0933,0.539,0.0266,0.166,0.04,175.921,2
11056,I'm Not Famous,AJR,spotify:track:2Ulnsoz9xPe1GO6vQh3x3m,0.725,0.497,-7.929,0.057,0.0519,0.017,0.137,0.954,171.988,3
11057,Bud Like You,AJR,spotify:track:4qvrdCZM49KR1nSHaYCiQ6,0.705,0.721,-8.985,0.0311,0.0898,0.758,0.0656,0.961,129.044,5
11058,Three-Thirty,AJR,spotify:track:42CSNROh0FNSx04HxpXyue,0.594,0.721,-7.812,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,1
11059,Overture,AJR,spotify:track:5tRqpgla6zqUn78qx2nkOy,0.622,0.58,-5.273,0.0504,0.00241,2.95e-05,0.112,0.512,104.41,1
11060,Break My Face,AJR,spotify:track:4h1VLpsN8tl5J1c8nsrUCa,0.574,0.857,-3.699,0.0779,0.000581,2.81e-06,0.0716,0.54,138.144,0
11061,"Wow, I'm Not Crazy",AJR,spotify:track:04gQHzS8FLPoNdnRKw4jDJ,0.447,0.963,-2.927,0.119,0.000169,0.0,0.92,0.579,174.976,4
11062,The Entertainment's Here,AJR,spotify:track:3HYgLawcb8IUGHHlHUQffN,0.463,0.857,-3.063,0.0632,0.0506,0.0,0.184,0.856,111.647,3
11063,Walk Me Home,P!nk,spotify:track:7DHApOHsIFo7EyfieArYGE,0.725,0.308,-9.941,0.039,0.604,0.0,0.121,0.154,126.061,2
11064,Here's to Never Growing Up,Avril Lavigne,spotify:track:0qwcGscxUHGZTgq0zcaqk1,0.652,0.768,-8.632,0.0886,0.227,7.37e-06,0.159,0.588,150.052,3
11065,What the Hell,Avril Lavigne,spotify:track:2z4U9d5OAA4YLNXoCgioxo,0.704,0.383,-6.917,0.0381,0.179,0.0,0.373,0.491,89.956,1
11066,Girlfriend,Avril Lavigne,spotify:track:45hOioMDJktr86iKDHC8gr,0.357,0.283,-9.759,0.0431,0.855,0.0,0.0785,0.201,178.091,2
11067,Bitchin' Summer,Avril Lavigne,spotify:track:4N2RGPjya8OIyMYz3t5LuY,0.575,0.535,-7.452,0.331,0.121,0.0,0.122,0.713,167.834,6
11068,17,Avril Lavigne,spotify:track:1yUXbgFPwjU4etmzkesNQz,0.329,0.365,-9.023,0.0474,0.364,0.0,0.334,0.202,172.02,2
11069,Welcome To New York,Taylor Swift,spotify:track:6qnM0XXPZOINWA778uNqQ9,0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,1
11070,Crash My Car,COIN,spotify:track:0X5mtNbqxbiTYkwj0CQc2f,0.762,0.596,-8.152,0.075,0.29,0.0,0.0691,0.378,116.887,1
11071,Melatonin,Birds of Bellwoods,spotify:track:78qZUli3UnRutxWPgnJIuu,0.659,0.313,-12.038,0.0388,0.493,5.97e-06,0.0927,0.25,124.851,2
11072,Glass Spiders,Hot Milk,spotify:track:4BCfr5vZpZDqHG9oNJo2Qx,0.509,0.478,-10.051,0.0392,0.185,1.4e-06,0.0891,0.323,139.926,2
11073,Pierre,Ryn Weaver,spotify:track:31c1V9xUONZYk78NE4Id8D,0.442,0.306,-11.197,0.0494,0.738,0.00053,0.193,0.143,180.062,2
11074,Birthday Party,AJR,spotify:track:7hBRNyuEkGR4qj5nTDGTry,0.317,0.58,-10.307,0.0537,0.0518,2.74e-06,0.0679,0.0489,179.697,0
11075,The Guide to Success,Joe Iconis,spotify:track:7iHgOyIl0IxBQl0WYC3Dur,0.721,0.724,-6.916,0.125,0.303,5.65e-06,0.0718,0.963,133.19,3
11076,Glory And Gore,Lorde,spotify:track:0SK9wxN40P6jlcMfTSAe0V,0.762,0.613,-10.222,0.137,0.172,2.62e-05,0.318,0.446,89.22,1
11077,Bravado,Lorde,spotify:track:02ZorlDGq0uTnMobHNh4EL,0.222,0.874,-4.494,0.0694,0.00117,0.0319,0.479,0.677,145.45,4
11078,Cabinet Man,Lemon Demon,spotify:track:0lrtYwuy37bJzsO2LHz2kj,0.649,0.701,-7.083,0.072,0.0011,0.00167,0.0383,0.724,93.378,3
11079,Redesign Your Logo (Bonus Track),Lemon Demon,spotify:track:4ovWlaROLot6mH7PA4lryb,0.48,0.865,-5.56,0.046,0.00938,0.00187,0.293,0.84,92.266,3
11080,Green Light,Lorde,spotify:track:3I4QOvltiKcMu3xmnQjEct,0.49,0.404,-12.529,0.0305,0.435,0.00567,0.0779,0.152,143.938,2
11081,Perfect Places,Lorde,spotify:track:7ARveOiD31w2Nq0n5FsSf8,0.715,0.611,-8.302,0.0324,0.183,8.51e-06,0.0786,0.817,103.987,3
11082,Wide Awake,Hot Milk,spotify:track:4fwOJjucGyAIIAMgl5heL1,0.593,0.692,-7.835,0.0451,0.0509,3.57e-06,0.14,0.467,125.007,1
11083,Bullfrog,Stand Atlantic,spotify:track:2txY2FuxXyRi7bxgAIAaek,0.673,0.854,-5.066,0.0388,0.11,0.00809,0.199,0.961,100.025,3
11084,Teenagers,My Chemical Romance,spotify:track:7j31rVgGX9Q2blT92VBEA0,0.365,0.845,-5.034,0.0445,0.0113,0.000187,0.337,0.181,186.807,0
11085,Goodbye,Bo Burnham,spotify:track:6tfPsgvkgbGHWGwq2PpzCI,0.47,0.915,-6.787,0.1,0.000954,7.58e-06,0.35,0.69,107.569,3
11086,White Woman’s Instagram,Bo Burnham,spotify:track:3whAYGfFH2hezD9L9B2oH0,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,4
11087,Don't Wanna Know,Bo Burnham,spotify:track:7kK9h00nOXVagkOCXPcBxx,0.261,0.822,-8.288,0.0358,0.000124,0.000344,0.0919,0.32,103.213,1
11088,Pandora's Box,MARINA,spotify:track:458f6v8JPdsk6Qms2sddVm,0.494,0.939,-3.127,0.126,0.00666,0.0,0.139,0.893,177.751,0
11089,In The Heights,Lin-Manuel Miranda,spotify:track:7oMr1IBlYwnb1jZh6of8kN,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,3
11090,Breathe (feat. Rubén Blades and Doreen Montalvo),Lin-Manuel Miranda,spotify:track:6eHA7Fw7JcrmhY5SZK9Rzx,0.487,0.898,-4.436,0.038,0.00305,0.0,0.26,0.597,135.331,0
11091,Some Nights,fun.,spotify:track:6t6oULCRS6hnI7rm0h5gwl,0.606,0.887,-4.404,0.0598,0.000242,0.0,0.337,0.903,119.974,3
11092,Fire Drill,Melanie Martinez,spotify:track:6TNWeqDnqdqIQWYMWZmzTA,0.416,0.748,-4.83,0.0487,7.43e-05,0.0,0.0995,0.792,150.094,0
11093,Snail (feat. Chloe Moriondo),Cavetown,spotify:track:6wZRVdKVHHSEHiAyTcwtV2,0.568,0.844,-5.875,0.0505,0.000189,0.0,0.0607,0.766,116.046,3
11094,Lemon Boy,Cavetown,spotify:track:3Yvk0ZLxMlt6ioasvdN6vB,0.431,0.95,-4.918,0.26,0.00105,3.63e-05,0.272,0.56,191.936,0
11095,Everything Is Temporary (Sticks and Stones),Cavetown,spotify:track:2ROoHzuEZV64bi3TCHEvzZ,0.564,0.955,-4.289,0.0384,0.000733,7.26e-06,0.388,0.764,100.704,3
11096,We’re Alive,Cavetown,spotify:track:09dBShylHmARsv2NayPV2z,0.218,0.921,-4.414,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,0
11097,Casualty,The Chats,spotify:track:0GVr4HCMsBehpybQPSNqUp,0.518,0.916,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864,3
11098,Left Right,The Chats,spotify:track:4pnspSbsODhDqFIqCTUtxD,0.454,0.636,-4.731,0.0273,0.00228,0.0,0.154,0.313,87.89,1
11099,Space Waster,Dumb Punts,spotify:track:4RZ53ffSnY3xLB4UJLZhZl,0.438,0.938,-5.611,0.094,0.00842,1.08e-06,0.806,0.584,160.212,4
11100,Heatstroke,The Chats,spotify:track:0NduIMlvOzSkGCPrCFONcm,0.553,0.717,-5.857,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,1
11101,Do What I Want,The Chats,spotify:track:5qBanJS9VIUPY6Dj3WvvoM,0.322,0.879,-3.297,0.0661,0.0316,0.081,0.267,0.227,179.911,0
11102,Hungover in the City of Dust,Autoheart,spotify:track:6YxJ2V3j7OZnX7dIhdR8Ch,0.38,0.988,-2.042,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,0
11103,Moscow,Autoheart,spotify:track:4ylE1Sl2wohbCvToD1fHsl,0.62,0.93,-3.685,0.0374,0.00043,0.0,0.0686,0.609,106.22,3
11104,Medicine for Melancholy,Rivers Cuomo,spotify:track:3uZNBXxgjiN4x3zt0vhJWW,0.268,0.742,-4.939,0.0355,0.0518,0.0,0.626,0.416,159.779,4
11105,Like the Night,Moonbeau,spotify:track:2tDMiXqnTte9VHpvyndcLd,0.693,0.823,-3.761,0.0726,0.0932,0.0,0.328,0.741,87.904,3
11106,Social Climber,Crocodylus,spotify:track:3uILcbZu6Yo63tgbCq1svf,0.556,0.92,-4.606,0.0367,0.00271,0.00021,0.117,0.771,121.138,3
11107,Aliens Exist,blink-182,spotify:track:3nqm3DdVskqbHhmb8S8hMd,0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,0
11108,All The Small Things,blink-182,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,0
11109,Carousel,blink-182,spotify:track:3gVXAW2pduBl7tzjAGUVRb,0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452,1
11110,The Anthem,Good Charlotte,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,0.718,0.691,-6.44,0.0387,0.0159,0.0,0.0627,0.552,100.008,3
11111,The Middle,Jimmy Eat World,spotify:track:6GG73Jik4jUlQCkKg9JuGO,0.639,0.655,-7.143,0.386,0.649,0.0,0.151,0.698,153.592,6
11112,Sweetness,Jimmy Eat World,spotify:track:429IbFR4yp2J81CeTwF5iY,0.686,0.581,-10.199,0.0422,0.0141,0.196,0.092,0.555,119.988,3
11113,1985,Bowling For Soup,spotify:track:5oQcOu1omDykbIPSdSQQNJ,0.324,0.939,-3.194,0.085,0.311,8.74e-06,0.278,0.295,124.995,0
11114,Ohio (Come Back To Texas),Bowling For Soup,spotify:track:4COleG16xBCkpofKHsJU2p,0.699,0.693,-6.893,0.126,0.534,8.7e-06,0.606,0.581,90.704,4
11115,In Too Deep,Sum 41,spotify:track:1HNE2PX70ztbEl6MLxrpNL,0.852,0.814,-4.591,0.0397,0.598,0.0,0.0566,0.967,99.988,3
11116,Still Waiting,Sum 41,spotify:track:2OMqSRS11ly56zg9u5za6c,0.507,0.891,-4.93,0.186,0.0115,0.00611,0.902,0.768,86.536,4
11117,Please Take Me Home,blink-182,spotify:track:7l7BbmQD7cWPSL9fvaUheU,0.704,0.643,-8.833,0.0421,0.107,0.0121,0.361,0.571,94.033,3
11118,Man Overboard,blink-182,spotify:track:1PRknVhZ6BsVX61MPrrVsV,0.737,0.69,-8.257,0.0416,0.015,0.066,0.0769,0.566,135.02,3
11119,Move Along,The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.556,0.78,-6.701,0.0514,0.0247,0.0114,0.136,0.837,149.018,3
11120,It Ends Tonight,The All-American Rejects,spotify:track:1FMHNVeJ9s1x1l1WlaRs2I,0.667,0.544,-5.96,0.0413,0.00653,0.00251,0.298,0.485,126.983,3
11121,Bleed American,Jimmy Eat World,spotify:track:61XspFITuKmAlYdQacNCbF,0.671,0.443,-7.799,0.0347,0.116,0.00434,0.0599,0.698,140.099,3
11122,"Swing, Swing",The All-American Rejects,spotify:track:003FTlCpBTM4eSqYSWPv4H,0.329,0.511,-6.249,0.0471,0.259,0.000121,0.531,0.359,77.006,4
11123,The Last Song,The All-American Rejects,spotify:track:2vLgTJ8YADmKDvrfkrUCaJ,0.626,0.678,-7.136,0.0294,0.248,0.0019,0.0808,0.77,128.035,3
11124,American Idiot,Green Day,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,0.473,0.738,-4.462,0.0426,0.0031,1.63e-05,0.103,0.499,161.863,0
11125,Lifestyles of the Rich & Famous,Good Charlotte,spotify:track:2g2a5kDeZexbUTD8abcvm6,0.551,0.68,-4.961,0.0314,0.0164,6.76e-05,0.209,0.382,132.711,1
11126,21 Guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.521,0.453,-12.754,0.0418,0.191,4.18e-05,0.248,0.703,161.047,2
11127,Beverly Hills,Weezer,spotify:track:1yKu2MhpwzDXXH2tzG6xoa,0.524,0.802,-7.357,0.194,0.333,0.0,0.616,0.677,171.068,4
11128,Buddy Holly,Weezer,spotify:track:3mwvKOyMmG77zZRunnxp9E,0.629,0.85,-3.653,0.0261,0.00802,0.0284,0.155,0.526,104.033,1
11129,"Sugar, We're Goin Down",Fall Out Boy,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.488,0.68,-8.143,0.0328,0.00329,0.398,0.144,0.64,139.984,5
11130,Misery Business,Paramore,spotify:track:6SpLc7EXZIPpy0sVko0aoU,0.414,0.843,-5.113,0.0674,0.00172,0.0,0.132,0.654,175.042,0
11131,"Dance, Dance",Fall Out Boy,spotify:track:0a7BloCiNzLDD9qSQHh5m7,0.496,0.725,-6.107,0.0467,0.0241,0.00139,0.0608,0.383,94.012,1
11132,Gives You Hell,The All-American Rejects,spotify:track:6ihL9TjfRjadfEePzXXyVF,0.717,0.59,-4.261,0.0346,0.0157,3.98e-05,0.0585,0.519,124.933,3
11133,"God, I Hate Shakespeare",Wayne Kirkpatrick,spotify:track:4wCot8w7pamCw8PQOvOgda,0.722,0.532,-10.852,0.104,0.00466,0.00068,0.0352,0.464,107.583,1
11134,Long Time,CAKE,spotify:track:3uK81IbKrK2xfLcjjCJDEE,0.847,0.676,-9.324,0.0373,0.0896,4.19e-06,0.101,0.76,104.995,3
11135,"Hand Me My Shovel, I'm Going In!",Will Wood and the Tapeworms,spotify:track:5gIJ6UEog9PR840GJuEYqa,0.517,0.625,-7.114,0.0554,0.0165,0.0,0.339,0.441,124.809,1
11136,The Haunted Phonograph,Various Artists,spotify:track:6WTkZhN1QGh1cd6Fwe0ryR,0.496,0.664,-5.316,0.0277,0.0317,0.0,0.0378,0.661,175.025,0
11137,Pretty Lavinia,American Murder Song,spotify:track:56Hc8SH4zK3zCUU2889RWF,0.616,0.73,-4.574,0.0358,0.00909,0.000112,0.175,0.792,89.057,3
11138,The First Step,Will Wood and the Tapeworms,spotify:track:0g4tyyq9isBxHRRXrgyG28,0.575,0.95,-3.378,0.0889,0.0884,1.9e-06,0.122,0.596,130.074,3
11139,When He Died,Lemon Demon,spotify:track:4dRBLORJbxTdRKqMpygLSd,0.549,0.865,-3.486,0.0625,0.000482,0.0,0.0512,0.434,140.017,0
11140,Sleepwalk,Forrest Day,spotify:track:3miloWzBao7srOc0W2YRJj,0.595,0.848,-5.481,0.0602,0.00399,0.0,0.338,0.801,140.031,3
11141,Yeah Yeah Yeah (V2),Jack Conte,spotify:track:7C59Z5DAy2V664L1EfnuhS,0.385,0.706,-4.826,0.0334,0.0739,0.0,0.36,0.682,164.971,0
11142,Loved,FEiN,spotify:track:07ivDiCg2mWDiwV4nG8zyC,0.355,0.941,-6.011,0.196,0.00459,0.000749,0.0928,0.487,164.865,0
11143,Sofarinrunning,Raccoon Tour,spotify:track:1aVzfoOSZ76YHejI0NJ0gP,0.498,0.885,-4.423,0.0461,0.0148,0.00041,0.239,0.67,106.719,3
11144,Great Vacation,Dirt Poor Robins,spotify:track:1Ff8faCk5h44MadoIExxF4,0.541,0.907,-4.512,0.0642,0.0158,0.000185,0.34,0.434,80.029,1
11145,Silver Platters,Les Gold,spotify:track:4vlEzzB1pfMH3umeu9NSs7,0.604,0.902,-1.912,0.0386,0.00754,0.0,0.62,0.525,130.029,4
11146,Business Man,Mother Mother,spotify:track:0J2wSeaQtC93AYYhBYwi5O,0.64,0.722,-3.489,0.0351,0.0196,1.27e-05,0.128,0.317,119.916,1
11147,All Gone,Mother Mother,spotify:track:7dhqEFIZSPizXnXYp2KomW,0.673,0.789,-4.288,0.0408,0.00975,0.0,0.752,0.841,100.043,4
11148,Burn Him Down!,Kitsch Club,spotify:track:33XJCfa8yUvlFOid9wXJlz,0.502,0.847,-5.356,0.0511,0.00111,0.0,0.109,0.398,83.509,1
11149,"…well, better than the alternative",Will Wood,spotify:track:5hZfjXEhOtwENRPhyyT7QP,0.473,0.833,-4.996,0.0423,0.00781,2.99e-05,0.0737,0.705,175.02,0
11150,Problems,Mother Mother,spotify:track:0mFSV2Bawz8i9wnlc9eYme,0.605,0.7,-6.47,0.0277,0.00998,0.0,0.116,0.588,84.962,1
11151,Eighth Wonder,Lemon Demon,spotify:track:7BxJz17EyAHjZlHEEqrtm6,0.701,0.547,-8.238,0.0483,0.00843,0.0,0.0987,0.4,140.015,1
11152,Auckland (Or Some Other Kiwi City),Mains & Monitors,spotify:track:7ifAkIlM8jNFpTiuzOiQ6l,0.631,0.763,-5.582,0.0782,0.00227,7.75e-05,0.65,0.666,119.886,4
11153,Frankenstein,Disco Inc.,spotify:track:3AhRVpFNvhj2alYdFQ8RjL,0.609,0.674,-7.388,0.0548,0.0735,0.06,0.345,0.315,90.009,1
11154,Grim Reaper,Public Theatre,spotify:track:4RUDNRnv25LuMjXFJ6Q7tP,0.726,0.537,-8.896,0.113,0.316,0.0,0.0707,0.887,96.91,3
11155,Grand Romantic Life,Mom Rock,spotify:track:2sL9oNbbcToqV7CKnpHUzm,0.499,0.967,-6.476,0.105,9.19e-05,0.0,0.352,0.419,139.002,0
11156,Making up Words,Bug Hunter,spotify:track:5FdfVmRkshH3zS1c8DSvI0,0.419,0.889,-3.368,0.0455,0.0118,0.0,0.371,0.835,161.154,0
11157,Miss Connection,The Keystones,spotify:track:17Dh6pmfB7F8I9m4qRT1Hn,0.324,0.989,-3.288,0.137,0.000134,0.0326,0.225,0.315,177.044,0
11158,Headstone,The Orphan The Poet,spotify:track:3e0A1MSvDMj4ZNj5pNXA4B,0.568,0.952,-4.907,0.221,0.000233,4.79e-05,0.173,0.535,139.993,6
11159,Queen Cobra,The Orphan The Poet,spotify:track:5G6J212I10FquxqucKKSti,0.281,0.651,-9.027,0.0539,0.0813,0.451,0.112,0.119,105.747,1
11160,Kombucha,Winnetka Bowling League,spotify:track:7pGYQz0yMkm8rLdP6u1wZW,0.485,0.737,-7.572,0.0943,0.00731,0.00313,0.0757,0.143,155.718,0
11161,Freaking Out,The Wrecks,spotify:track:2uvTqA4hY5Tsqgeu6iTTO2,0.926,0.916,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,3
11162,Out Of Style,The Wrecks,spotify:track:62ewcS8yoxhFU59yhVlL9r,0.523,0.73,-5.162,0.0311,0.000693,1.45e-05,0.0675,0.0833,124.043,1
11163,World War Me,King and Queen of the Losers,spotify:track:5mkLqIRVAZYBSP78olBMUY,0.692,0.774,-4.308,0.0327,0.00584,0.0,0.0467,0.621,125.97,3
11164,Sleep With a Baseball Bat,Cosmic Johnny,spotify:track:6HfUOvYn45SwpaddmuA8oe,0.714,0.876,-5.834,0.0536,0.264,8.21e-05,0.104,0.832,147.984,3
11165,Crying Lightning,Arctic Monkeys,spotify:track:21sa0bWFqOFEYPtahlt4Lt,0.437,0.248,-15.22,0.0287,0.804,0.00252,0.091,0.222,139.728,2
11166,Could Have Been Me,The Struts,spotify:track:3IyCL4Em1GOpNGDf451Hg1,0.562,0.48,-10.211,0.0304,0.679,0.0676,0.108,0.125,141.081,2
11167,West End Kids,New Politics,spotify:track:5IhDbkr7TIy9trIOnW8cv1,0.624,0.928,-4.289,0.0316,0.218,0.0,0.312,0.668,102.029,3
11168,Favorite Liar,The Wrecks,spotify:track:1scwknKtBQpreYy6MSoJqJ,0.578,0.524,-10.762,0.0321,0.53,0.00209,0.129,0.495,130.039,2
11169,Silvertongue,Young the Giant,spotify:track:0yTJtxZJ5VLfBEHhiNUNeY,0.624,0.928,-4.289,0.0316,0.218,0.0,0.312,0.668,102.029,3
11170,Bad Dream,The Mowgli's,spotify:track:2wDSi9KYZKExnLJrU80yz2,0.705,0.373,-9.066,0.0384,0.723,0.81,0.289,0.551,120.046,2
11171,Songs I Can't Listen To,Neon Trees,spotify:track:1WMBlpjhd3AUQiNfJOzfIl,0.435,0.757,-12.084,0.0427,0.0433,0.142,0.159,0.365,154.036,0
11172,All My Favorite Songs (feat. AJR),Weezer,spotify:track:3A6nR4GSolo160nu7xtDk7,0.697,0.401,-10.216,0.0543,0.43,0.0109,0.316,0.478,108.996,2
11173,Way Less Sad,AJR,spotify:track:6g3XrmNrWVa33dZuxIhMbF,0.7,0.448,-13.016,0.11,0.743,0.458,0.179,0.731,153.992,2
11174,I Need Some of That,Weezer,spotify:track:1fDFIckfX373VPKvpIzFAl,0.575,0.303,-15.769,0.0405,0.636,0.648,0.111,0.139,112.005,7
11175,Chlorine,Twenty One Pilots,spotify:track:23OXdR7YuUBVWh5hSnYJau,0.643,0.492,-9.314,0.0387,0.181,0.033,0.798,0.601,107.954,4
11176,Blister In The Sun,Violent Femmes,spotify:track:2ugghimAssmeO3YpFIV7mb,0.488,0.432,-11.382,0.0367,0.618,0.000468,0.105,0.0716,119.941,2
11177,Bullshit,Dune Rats,spotify:track:2WaXXnaS6XsQqY5ANUoYoP,0.606,0.442,-9.485,0.0279,0.542,0.000242,0.108,0.371,128.008,2
11178,Stutter,Bugs,spotify:track:6S28ydqdadfRcektGN4QGD,0.574,0.899,-5.75,0.0846,0.0507,0.0,0.0902,0.679,170.097,0
11179,Demolition Derby,Dune Rats,spotify:track:6tkn9gzN6jmCc0XekJ9Guj,0.269,0.277,-8.499,0.0394,0.918,0.000117,0.0925,0.159,115.756,2
11180,Scott Green,Dune Rats,spotify:track:6bfBpU6hoW6LWMsliD41Cp,0.832,0.346,-9.64,0.036,0.112,1.29e-05,0.0945,0.688,98.512,3
11181,Hit The Road Jack,2WEI,spotify:track:13WrQpPeut2MTy6jbRwc2Y,0.766,0.499,-8.731,0.0341,0.0103,2.22e-06,0.116,0.92,129.976,3
11182,Boom Boom,2WEI,spotify:track:1tRztGP1nj2Vdn3wGaRtkq,0.754,0.603,-4.473,0.0445,0.129,0.0,0.443,0.766,89.976,3
11183,Hollaback Girl,Gwen Stefani,spotify:track:0eqH0ALoDQevq59YcQ53KE,0.47,0.62,-9.26,0.195,0.0772,0.00449,0.0999,0.656,175.385,0
11184,The State of Dreaming,MARINA,spotify:track:2nf8ohkhXTo5SRlcugeYBk,0.578,0.306,-7.594,0.123,0.696,0.0,0.114,0.704,201.198,2
11185,Radioactive,MARINA,spotify:track:0HtM9aNFkEwd6alO0av3Qq,0.696,0.559,-6.194,0.0326,0.0223,0.000129,0.159,0.41,113.201,1
11186,Anniversary,Autoheart,spotify:track:4qsEWmWMvufFZq4Z9igGDS,0.601,0.739,-7.851,0.114,0.00794,0.0,0.191,0.614,157.059,3
