,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
17546,Steve Lacy,Dirty Deeds Done Dirt Cheap,0.141,0.0378,3.0,-26.014,0.0,0.0445,0.961,0.944,0.103,0.0322,140.607,210853.0,3.0
17547,Denyah,Highway to Hell,0.0956,0.875,4.0,-1.014,0.0,0.0459,0.000766,0.792,0.146,0.145,88.837,229000.0,4.0
17548,Carter Vail,Thunderstruck,0.728,0.323,10.0,-17.114,0.0,0.0357,0.141,0.694,0.0937,0.18,131.026,159957.0,4.0
17549,Kishi Bashi,Hells Bells,0.417,0.847,7.0,-3.15,1.0,0.0611,0.00108,0.00743,0.083,0.0945,87.016,220690.0,4.0
17550,Ameer Vann,"Another Brick in the Wall, Pt. 2",0.669,0.829,9.0,-8.588,1.0,0.0348,0.0142,0.0607,0.0915,0.599,126.745,285648.0,4.0
17551,James Roach,"Danger Zone - From ""Top Gun"" Original Soundtrack",0.725,0.583,1.0,-9.942,0.0,0.0427,0.3,0.000238,0.0665,0.762,79.984,218360.0,4.0
17552,James Roach,Juke Box Hero,0.655,0.819,0.0,-4.852,1.0,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790.0,5.0
17553,Scott James,Little Lion Man,0.892,0.516,2.0,-8.292,1.0,0.0491,0.495,0.615,0.095,0.759,97.493,216493.0,3.0
17554,Odyssey,House Of Cards,0.474,0.418,0.0,-9.654,1.0,0.0299,0.514,0.000343,0.0535,0.504,83.308,238600.0,3.0
17555,Haddaway,Blank Fairy,0.43,0.463,2.0,-10.96,1.0,0.0442,0.303,5.84e-05,0.152,0.66,93.405,271333.0,4.0
17556,AC/DC,Prisonic Fairytale,0.578,0.825,0.0,-5.298,1.0,0.0382,0.001,2.19e-06,0.171,0.604,110.976,229627.0,4.0
17557,AC/DC,Promise (Reprise),0.371,0.677,5.0,-6.144,0.0,0.0425,0.154,0.159,0.0609,0.477,121.209,224947.0,3.0
17558,AC/DC,White Noiz,0.682,0.9,9.0,-5.028,1.0,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499.0,4.0
17559,AC/DC,The Day Of Night,0.611,0.677,10.0,-6.745,0.0,0.034,0.0764,0.0698,0.241,0.233,166.04,255320.0,4.0
17560,Pink Floyd,Forest,0.298,0.846,5.0,-7.485,0.0,0.0362,0.299,0.103,0.0745,0.125,117.22,223806.0,4.0
17561,Kenny Loggins,Alone In The Town,0.166,0.084,9.0,-14.878,1.0,0.0359,0.607,0.822,0.116,0.0387,109.874,424464.0,4.0
17562,Foreigner,Promise,0.498,0.553,5.0,-6.193,1.0,0.0332,0.000103,0.528,0.273,0.235,111.015,322933.0,4.0
17563,Mumford & Sons,End of Small Sanctuary,0.198,0.582,2.0,-6.02,1.0,0.0336,0.391,0.000692,0.142,0.247,82.889,278267.0,4.0
17564,Radiohead,A World Of Madness,0.476,0.901,8.0,-6.751,1.0,0.0975,0.0642,0.158,0.0557,0.109,91.955,353787.0,4.0
17565,Akira Yamaoka,Null Moon,0.431,0.373,11.0,-15.142,0.0,0.0346,0.389,0.728,0.143,0.253,128.153,169535.0,4.0
17566,Akira Yamaoka,Prevailing Westerlies,0.429,0.937,2.0,-3.986,1.0,0.0573,0.000131,0.0002,0.0807,0.894,194.838,185027.0,4.0
17567,Akira Yamaoka,Secret of the Forest,0.673,0.531,9.0,-5.951,1.0,0.0273,0.0238,0.618,0.0983,0.496,133.009,196547.0,4.0
17568,Akira Yamaoka,Manhunter,0.612,0.476,8.0,-8.256,1.0,0.0275,0.861,0.0044,0.147,0.257,118.381,288720.0,3.0
17569,Akira Yamaoka,The Ghost,0.356,0.67,2.0,-5.825,1.0,0.0324,0.467,0.000106,0.288,0.117,135.032,298680.0,4.0
17570,Akira Yamaoka,Choice,0.461,0.475,5.0,-6.4,1.0,0.0283,0.238,0.0125,0.103,0.173,118.66,234800.0,4.0
17571,Akira Yamaoka,An Illusion of Time,0.637,0.549,5.0,-6.527,1.0,0.0253,0.061,0.0835,0.0785,0.87,141.385,322760.0,4.0
17572,Akira Yamaoka,A Moment's Peace,0.432,0.55,2.0,-7.143,1.0,0.0259,0.562,0.0032,0.102,0.23,179.482,238760.0,4.0
17573,Akira Yamaoka,Afterlife,0.612,0.448,9.0,-5.258,0.0,0.0264,0.202,0.00992,0.104,0.282,97.253,306387.0,4.0
17574,Akira Yamaoka,Majula,0.641,0.469,7.0,-7.469,0.0,0.0256,0.715,0.00505,0.131,0.3,92.941,263307.0,4.0
17575,Akira Yamaoka,Self Esteem Fund,0.239,0.74,10.0,-4.385,0.0,0.048,0.0523,0.00117,0.419,0.309,193.039,303853.0,4.0
17576,Mason Lindroth,Post Void Single,0.608,0.442,5.0,-10.705,1.0,0.0241,0.626,0.0012,0.123,0.355,99.526,320480.0,3.0
17577,Yasunori Mitsuda,Safe Haven,0.568,0.865,1.0,-7.401,1.0,0.0289,0.472,0.000425,0.0845,0.421,110.85,348440.0,3.0
17578,Hexsystem,Pretty Cvnt,0.403,0.412,2.0,-10.03,1.0,0.0256,0.167,0.815,0.115,0.471,158.014,240770.0,4.0
17579,Hexsystem,Mind Hijacker's Curse,0.4,0.552,8.0,-9.354,0.0,0.0299,0.87,0.792,0.177,0.182,80.039,262123.0,4.0
